nazwa-zmienna,id-zmienna,id-przekroj,id-okres
Wskaźnik wolumenu w obrotach handlu zagranicznego w imporcie,228,789,266
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,656,263
Pozycja przedsiębiorstwa wobec konkurencji na innych rynkach zagranicznych poza krajami Unii Europejskiej - przetwórstwo przemysłowe,160,751,256
Saldo obrotów towarowych wg kraju wysyłki,183,1194,282
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,751,256
Małżeństwa na 1000 ludności,29,16,249
Import towarów wg kraju wysyłki,222,1199,254
Przewidywane nakłady inwestycyjne - handel,172,757,258
Import towarów wg kraju pochodzenia,221,1246,265
Miejsca w placówkach opieki nad dziećmi do lat 3,245,565,282
Opóźnienia płatności,158,801,248
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,803,257
Przeciętne ceny produktów rolnych uzyskiwane przez rolników na targowiskach,317,779,249
Udzielone patenty,463,170,282
Bierni zawodowo - BAEL (do 2020 r.),368,221,273
Eksport towarów,220,1144,264
Obroty w handlu detalicznym,112,16,252
Mieszkania oddane do użytkowania,381,16,267
Poszkodowani w wypadkach przy pracy,432,28,282
Import towarów wg kraju wysyłki,222,1136,252
Przewidywany zagraniczny portfel zamówień - przetwórstwo przemysłowe,182,751,256
Przewidywany portfel zamówień na rynku krajowym - budownictwo,181,796,250
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,656,259
Aktywni zawodowo - BAEL (do 2020 r.),366,221,271
Sprzedaż hurtowa towarów,110,832,252
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,2,258
Import towarów wg kraju pochodzenia,221,1116,253
Przyłącza wodociągowe prowadzące do budynków mieszkalnych,216,1234,282
Źródła finansowania środków obrotowych w działalności handlowej - kredyt kupiecki,198,834,248
Import towarów wg kraju pochodzenia,221,1115,268
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,1242,262
Wskaźnik ufności koniunktury gospodarczej – usługi,188,16,256
Saldo obrotów towarowych wg kraju wysyłki,183,1243,256
Kwota świadczeń emerytalno-rentowych,285,1192,264
Import towarów wg kraju pochodzenia,221,1144,254
Saldo obrotów towarowych wg kraju pochodzenia,223,1136,256
Bieżąca sytuacja finansowa przedsiębiorstwa,141,776,257
Eksport towarów,220,1116,247
Przeciętna miesięczna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych,287,16,249
Bieżąca sprzedaż,137,958,249
Przeciętna miesięczna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych,287,16,254
Odsetek przedsiębiorstw korzystających z mediów społecznościowych,335,9,282
Wskaźniki cen produkcji budowlano-montażowej,312,93,267
Wskaźnik wolumenu w obrotach handlu zagranicznego w eksporcie,227,789,266
Import towarów wg kraju pochodzenia,221,1144,255
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,803,251
Przewidywane ceny,171,776,258
Bezrobotni - BAEL (do 2020 r.),367,1164,270
Przewidywany popyt,179,958,254
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,12,259
Import towarów wg kraju wysyłki,222,1116,255
Powierzchnia użytkowa mieszkań oddanych do użytkowania,387,102,259
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,803,253
Bieżący popyt - usługi,143,961,254
Przewidywana produkcja,168,801,255
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,777,256
Bariery działalności w usługach,136,817,255
Opóźnienia płatności,158,802,252
Przewidywana sytuacja finansowa przedsiębiorstwa,170,777,255
Podmioty w działalności badawczej i rozwojowej,408,87,282
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,796,249
Saldo obrotów towarowych wg kraju pochodzenia,223,1194,249
Urodzenia żywe na 1000 ludności,28,16,256
Opóźnienia płatności,158,957,256
Aktualne moce produkcyjne (przy posiadanym portfelu zamówień i przewidywanych zmianach popytu) - przetwórstwo przemysłowe,132,786,256
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,956,251
Eksport towarów,220,1136,263
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,2,269
Zasiłki i świadczenia przedemerytalne,291,16,265
Przewidywane nakłady inwestycyjne - handel,172,955,251
Indeks kosztów zatrudnienia,404,25,271
Wskaźniki cen importu i eksportu,329,772,255
Przyrost naturalny,18,16,251
Saldo obrotów towarowych wg kraju pochodzenia,223,1198,254
Bieżący stan zapasów towarów - handel,147,796,253
Wskaźniki cen produkcji sprzedanej przemysłu,314,658,269
Sprzedaż hurtowa towarów,110,832,261
Pracujący w sektorze przedsiębiorstw,377,12,258
Dzieci przebywające w placówkach opieki nad dziećmi do lat 3 (stan na 31 XII),246,567,282
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,777,253
Mieszkania, na których budowę wydano pozwolenia lub dokonano zgłoszenia z projektem budowlanym,384,102,264
Dochody budżetu państwa,152,1117,282
Import towarów wg kraju pochodzenia,221,1198,257
Przewidywane źródła finansowania działalności usługowej - środki z budżetu państwa,178,819,253
Saldo obrotów towarowych wg kraju pochodzenia,223,1116,262
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,16,249
Zagwarantowany okres działania przedsiębiorstwa - usługi,190,787,248
Import towarów wg kraju wysyłki,222,1136,254
Kwota świadczeń społecznych brutto,4,16,252
Interwencje i akcje ratunkowe ratowników górskich,100,167,282
Wydane książki i broszury,127,588,282
Relacje cen detalicznych do cen skupu,319,784,250
Saldo obrotów towarowych wg kraju wysyłki,183,1199,282
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,12,253
Przewidywana sprzedaż,169,958,256
Import towarów wg kraju pochodzenia,221,1144,261
Źródła finansowania środków obrotowych w działalności handlowej - kredyt bankowy,197,757,257
